Time,Res_8_bit,Res_10_bit,Res_12_bit
16:43:10,8085.106,8067.82,8060.333
16:43:11,8085.106,8106.194,8106.651
16:43:12,7832.168,8035.965,8113.057
16:43:13,7957.746,8131.867,8104.249
16:43:14,7957.746,8125.443,8088.255
16:43:15,7957.746,8061.44,8061.927
16:43:16,8214.285,7997.888,8094.65
16:43:17,8085.106,8074.204,8053.167
16:43:18,7957.746,8035.965,8046.008
16:43:20,7957.746,8023.255,8032.499
16:43:21,7957.746,7972.593,7940.069
16:43:22,7957.746,7934.782,7996.835
16:43:23,7957.746,7978.91,7966.042
16:43:24,7957.746,7985.232,7981.03
16:43:25,8085.106,7978.91,7992.092
16:43:26,7957.746,7991.558,7981.82
16:43:27,7832.168,7966.279,7944.785
16:43:28,7957.746,7966.279,7973.927
16:43:30,7957.746,7966.279,7951.078
16:43:31,7832.168,7947.368,7914.169
16:43:32,7832.168,7872.117,7872.73
16:43:33,7832.168,7878.364,7888.346
16:43:34,7708.333,7859.637,7832.258
16:43:35,7708.333,7797.495,7839.251
16:43:36,7832.168,7809.888,7797.383
16:43:37,7708.333,7748.091,7808.219
16:43:39,7832.168,7785.118,7789.652
16:43:40,7708.333,7816.092,7760.333
16:43:41,7832.168,7778.936,7781.155
16:43:42,7465.754,7760.417,7752.634
16:43:43,7708.333,7735.784,7769.581
16:43:44,7708.333,7729.636,7751.863
16:43:45,7708.333,7735.784,7701.983
16:43:46,7586.207,7717.353,7688.985
16:43:47,7586.207,7754.251,7675.241
16:43:49,7708.333,7692.839,7714.236
16:43:50,7586.207,7680.608,7705.811
16:43:51,7586.207,7644.015,7663.805
16:43:52,7465.754,7631.851,7679.057
16:43:53,7465.754,7595.459,7627.31
16:43:54,7465.754,7565.247,7581.144
16:43:55,7465.754,7559.217,7520.965
16:43:56,7465.754,7469.262,7467.155
16:43:57,7346.939,7344.863,7432.208
16:43:59,7229.73,7392.043,7348.754
16:44:00,7346.939,7327.236,7351.695
16:44:01,7229.73,7297.938,7287.233
16:44:02,7346.939,7315.504,7336.27
16:44:03,7346.939,7321.368,7342.876
16:44:04,7346.939,7338.983,7355.372
16:44:05,7229.73,7350.747,7371.569
16:44:06,7346.939,7309.645,7340.673
16:44:08,7229.73,7268.738,7328.199
16:44:09,7346.939,7315.504,7277.752
16:44:10,7229.73,7228.023,7246.461
16:44:11,7346.939,7222.222,7260.274
16:44:12,7346.939,7257.085,7235.574
16:44:13,7114.094,7228.023,7208.051
16:44:14,7114.094,7239.636,7209.498
16:44:15,7229.73,7257.085,7287.233
16:44:16,7229.73,7245.448,7290.154
16:44:18,7229.73,7245.448,7289.424
16:44:19,7346.939,7344.863,7345.08
16:44:20,7346.939,7362.525,7364.939
16:44:21,7346.939,7286.245,7361.995
16:44:22,7346.939,7368.421,7370.096
16:44:23,7465.754,7409.803,7399.618
16:44:24,7346.939,7457.338,7407.753
16:44:25,7346.939,7392.043,7462.687
16:44:26,7346.939,7451.382,7432.95
16:44:28,7465.754,7451.382,7414.417
16:44:29,7346.939,7397.959,7444.09
16:44:30,7465.754,7368.421,7447.806
16:44:31,7586.207,7445.43,7452.268
16:44:32,7346.939,7409.803,7438.89
16:44:33,7346.939,7392.043,7438.89
16:44:34,7346.939,7292.089,7401.836
16:44:35,7114.094,7344.863,7342.876
16:44:36,7229.73,7327.236,7345.08
16:44:38,7346.939,7286.245,7316.475
16:44:39,7346.939,7344.863,7320.137
16:44:40,7346.939,7350.747,7303.305
16:44:41,7346.939,7427.598,7361.258
16:44:42,7229.73,7297.938,7337.736
16:44:43,7346.939,7344.863,7358.315
16:44:44,7346.939,7344.863,7345.08
16:44:45,7346.939,7286.245,7293.075
16:44:47,7229.73,7321.368,7247.915
16:44:48,7229.73,7309.645,7300.38
16:44:49,7229.73,7257.085,7277.752
16:44:50,7229.73,7210.632,7251.549
16:44:51,7114.094,7257.085,7239.201
16:44:52,7229.73,7158.671,7197.211
16:44:53,7114.094,7181.727,7188.549
16:44:54,7114.094,7210.632,7202.991
16:44:55,7229.73,7158.671,7194.324
16:44:57,7114.094,7124.205,7151.114
16:44:58,7114.094,7141.421,7120.996
16:44:59,7114.094,7101.304,7099.548
16:45:00,7114.094,7055.686,7109.551
16:45:01,7114.094,7147.167,7136.042
16:45:02,7114.094,7170.191,7121.713
16:45:03,7114.094,7152.917,7123.145
16:45:04,7000,7032.967,7126.009
16:45:05,7000,7135.679,7098.122
16:45:07,7229.73,7170.191,7091.698
16:45:08,7114.094,7078.465,7117.417
16:45:09,7114.094,7107.023,7081.004
16:45:10,7229.73,7061.375,7059.656
16:45:11,7000,7050,7093.839
16:45:12,7000,7095.588,7106.691
16:45:13,7114.094,7089.876,7090.986
16:45:14,7000,7050,7125.293
16:45:16,7114.094,7112.747,7098.122
16:45:17,7114.094,7118.474,7093.125
16:45:18,7114.094,7101.304,7114.557
16:45:19,7114.094,7067.067,7101.692
16:45:20,7114.094,7095.588,7099.548
16:45:21,7000,7038.641,7082.429
16:45:22,7000,7095.588,7058.236
16:45:23,7000,7050,7046.874
16:45:24,7000,6999.003,7051.133
16:45:26,6776.316,6976.436,6999.46
16:45:27,7000,6965.175,6990.292
16:45:28,6887.417,6953.928,6976.908
16:45:29,6887.417,6909.091,6892.17
16:45:30,6776.316,6847.826,6873.377
16:45:31,6666.667,6864.491,6869.207
16:45:32,6776.316,6814.596,6824.158
16:45:33,6776.316,6814.596,6792.422
16:45:34,6558.441,6798.03,6730.675
16:45:36,6776.316,6726.619,6756.005
16:45:37,6666.667,6787.004,6759.434
16:45:38,6666.667,6759.502,6744.357
16:45:39,6776.316,6792.516,6806.206
16:45:40,6776.316,6792.516,6713.604
16:45:41,6776.316,6764.996,6767.668
16:45:42,6666.667,6721.151,6778.662
16:45:43,6776.316,6754.013,6770.416
16:45:44,6666.667,6682.974,6736.145
16:45:46,6558.441,6688.418,6730.675
16:45:47,6666.667,6650.391,6732.042
16:45:48,6666.667,6672.1,6660.563
16:45:49,6666.667,6666.667,6668.702
16:45:50,6558.441,6672.1,6663.276
16:45:51,6666.667,6688.418,6677.527
16:45:52,6666.667,6650.391,6704.059
16:45:53,6558.441,6628.738,6672.094
16:45:55,6558.441,6672.1,6678.206
16:45:56,6666.667,6655.813,6631.468
16:45:57,6558.441,6548.042,6601.8
16:45:58,6558.441,6580.228,6603.818
16:45:59,6558.441,6607.143,6583.646
16:46:00,6558.441,6585.604,6623.366
